Activity,Frequency
Foraging,9
Eating,7
Climbing,4
"Eating, Foraging",2
"Eating, Burying",2
Chasing,2
Lounging,1
Sitting,1
"Climbing, Watching #2",1
"Climbing, Foraging",1
"Running, Climbing",1
Posing,1
"Climbing, Eating, Foraging",1
Running,1
